TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,TIME,MATH
1.88E+04,-1.1,-1.1,-0.18,-0.18,,3.75E+05,0.00289063
1.88E+04,-1.1,-1.06,-0.18,-0.18,,3.77E+05,0.00289063
1.89E+04,-1.06,-1.06,-0.18,-0.18,,3.78E+05,0.00289063
1.90E+04,-1.06,-1.06,-0.18,-0.18,,3.80E+05,0.00257812
1.91E+04,-1.06,-1.1,-0.16,-0.18,,3.81E+05,0.00226562
1.91E+04,-1.06,-1.06,-0.16,-0.16,,3.83E+05,0.00257812
1.92E+04,-1.06,-1.06,-0.16,-0.2,,3.84E+05,0.00289063
1.93E+04,-1.06,-1.06,-0.18,-0.16,,3.86E+05,0.00289063
1.94E+04,-1.06,-1.06,-0.16,-0.2,,3.88E+05,0.00289063
1.95E+04,-1.06,-1.06,-0.18,-0.16,,3.89E+05,0.00289063
1.95E+04,-1.06,-1.06,-0.18,-0.18,,3.91E+05,0.00289063
1.96E+04,-1.06,-1.02,-0.18,-0.16,,3.92E+05,0.00257812
1.97E+04,-1.06,-1.06,-0.18,-0.18,,3.94E+05,0.00226562
1.98E+04,-1.06,-1.06,-0.16,-0.16,,3.95E+05,0.00257812
1.98E+04,-1.06,-1.06,-0.16,-0.18,,3.97E+05,0.00289063
1.99E+04,-1.06,-1.06,-0.18,-0.16,,3.98E+05,0.00289063
2.00E+04,-1.06,-1.06,-0.18,-0.18,,4.00E+05,0.00289063
2.01E+04,-1.06,-1.06,-0.18,-0.16,,4.02E+05,0.00289063
2.02E+04,-1.06,-1.06,-0.16,-0.18,,4.03E+05,0.00289063
2.02E+04,-1.06,-1.06,-0.18,-0.16,,4.05E+05,0.00257812
2.03E+04,-1.06,-1.06,-0.16,-0.18,,4.06E+05,0.00226562
2.04E+04,-1.06,-1.06,-0.18,-0.16,,4.08E+05,0.00257812
2.05E+04,-1.06,-1.06,-0.18,-0.18,,4.09E+05,0.00289063
2.05E+04,-1.06,-1.06,-0.16,-0.16,,4.11E+05,0.00257812
2.06E+04,-1.06,-1.06,-0.18,-0.18,,4.13E+05,0.00226562
2.07E+04,-1.06,-1.06,-0.18,-0.18,,4.14E+05,0.00257812
2.08E+04,-1.06,-1.06,-0.18,-0.18,,4.16E+05,0.00289063
2.09E+04,-1.06,-1.02,-0.16,-0.16,,4.17E+05,0.00257812
2.09E+04,-1.06,-1.06,-0.2,-0.2,,4.19E+05,0.00226562
2.10E+04,-1.06,-1.06,-0.18,-0.18,,4.20E+05,0.00257812
2.11E+04,-1.1,-1.1,-0.18,-0.18,,4.22E+05,0.00289063
2.12E+04,-1.06,-1.06,-0.18,-0.16,,4.23E+05,0.00257812
2.13E+04,-1.06,-1.06,-0.2,-0.2,,4.25E+05,0.00226562
2.13E+04,-1.06,-1.06,-0.18,-0.18,,4.27E+05,0.00226562
2.14E+04,-1.06,-1.06,-0.18,-0.18,,4.28E+05,0.00226562
2.15E+04,-1.06,-1.06,-0.18,-0.16,,4.30E+05,0.00257812
2.16E+04,-1.06,-1.06,-0.18,-0.18,,4.31E+05,0.00289063
2.16E+04,-1.06,-1.02,-0.18,-0.16,,4.33E+05,0.00289063
2.17E+04,-1.06,-1.1,-0.18,-0.2,,4.34E+05,0.00289063
2.18E+04,-1.06,-1.06,-0.18,-0.16,,4.36E+05,0.00257812
2.19E+04,-1.06,-1.06,-0.18,-0.18,,4.38E+05,0.00226562
2.20E+04,-1.06,-1.06,-0.18,-0.16,,4.39E+05,0.00226562
2.20E+04,-1.06,-1.06,-0.18,-0.18,,4.41E+05,0.00226562
2.21E+04,-1.06,-1.06,-0.18,-0.16,,4.42E+05,0.00257812
2.22E+04,-1.06,-1.06,-0.18,-0.18,,4.44E+05,0.00289063
2.23E+04,-1.06,-1.06,-0.18,-0.16,,4.45E+05,0.00289063
2.23E+04,-1.06,-1.06,-0.18,-0.18,,4.47E+05,0.00289063
2.24E+04,-1.06,-1.02,-0.18,-0.16,,4.48E+05,0.00257812
2.25E+04,-1.06,-1.06,-0.18,-0.18,,4.50E+05,0.00226562
2.26E+04,-1.06,-1.06,-0.18,-0.18,,4.52E+05,0.00226562
2.27E+04,-1.06,-1.06,-0.18,-0.18,,4.53E+05,0.00226562
2.27E+04,-1.06,-1.06,-0.16,-0.16,,4.55E+05,0.00226562
2.28E+04,-1.06,-1.06,-0.16,-0.18,,4.56E+05,0.00226562
2.29E+04,-1.06,-1.02,-0.18,-0.16,,4.58E+05,0.00226562
2.30E+04,-1.06,-1.06,-0.16,-0.18,,4.59E+05,0.00226562
2.30E+04,-1.06,-1.06,-0.18,-0.16,,4.61E+05,0.00226562
2.31E+04,-1.06,-1.06,-0.18,-0.18,,4.63E+05,0.00226562
2.32E+04,-1.06,-1.02,-0.18,-0.16,,4.64E+05,0.00257812
2.33E+04,-1.06,-1.06,-0.18,-0.18,,4.66E+05,0.00289063
2.34E+04,-1.06,-1.02,-0.16,-0.16,,4.67E+05,0.00257812
2.34E+04,-1.06,-1.06,-0.18,-0.18,,4.69E+05,0.00226562
2.35E+04,-1.06,-1.06,-0.16,-0.16,,4.70E+05,0.00226562
2.36E+04,-1.06,-1.06,-0.18,-0.2,,4.72E+05,0.00226562
2.37E+04,-1.06,-1.02,-0.16,-0.16,,4.73E+05,0.00257812
2.38E+04,-1.06,-1.06,-0.16,-0.18,,4.75E+05,0.00289063
2.38E+04,-1.06,-1.02,-0.16,-0.16,,4.77E+05,0.00257812
2.39E+04,-1.02,-1.06,-0.16,-0.18,,4.78E+05,0.00226562
2.40E+04,-1.02,-1.02,-0.16,-0.16,,4.80E+05,0.0028125
