TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,TIME,MATH
3.03E+04,1.62,1.62,-0.98,-0.98,,6.06E+05,0.000546875
3.05E+04,1.62,1.62,-0.98,-0.94,,6.09E+05,0.00078125
3.06E+04,1.62,1.62,-0.94,-0.94,,6.13E+05,0.00109375
3.08E+04,1.62,1.62,-0.94,-0.94,,6.16E+05,0.00109375
3.09E+04,1.62,1.62,-0.94,-0.94,,6.19E+05,0.00109375
3.11E+04,1.62,1.62,-0.94,-0.94,,6.22E+05,0.00078125
3.13E+04,1.62,1.62,-0.98,-0.98,,6.25E+05,0.000546875
3.14E+04,1.62,1.62,-0.98,-0.94,,6.28E+05,0.00109375
3.16E+04,1.62,1.62,-0.98,-0.98,,6.31E+05,0.00171875
3.17E+04,1.62,1.62,-0.98,-0.94,,6.34E+05,0.00109375
3.19E+04,1.62,1.62,-0.94,-0.94,,6.38E+05,0.000546875
3.20E+04,1.62,1.62,-0.94,-0.94,,6.41E+05,0.00109375
3.22E+04,1.62,1.58,-0.98,-0.98,,6.44E+05,0.00171875
3.23E+04,1.62,1.62,-0.98,-0.94,,6.47E+05,0.00109375
3.25E+04,1.62,1.62,-0.94,-0.94,,6.50E+05,0.000546875
3.27E+04,1.62,1.62,-0.94,-0.94,,6.53E+05,0.00078125
3.28E+04,1.62,1.62,-0.94,-0.94,,6.56E+05,0.00109375
3.30E+04,1.62,1.62,-0.94,-0.94,,6.59E+05,0.00109375
3.31E+04,1.62,1.62,-0.94,-0.94,,6.63E+05,0.00109375
3.33E+04,1.62,1.62,-0.94,-0.94,,6.66E+05,0.00109375
3.34E+04,1.62,1.62,-0.94,-0.98,,6.69E+05,0.00109375
3.36E+04,1.62,1.62,-0.98,-0.94,,6.72E+05,0.00078125
3.38E+04,1.62,1.58,-0.98,-0.98,,6.75E+05,0.000546875
3.39E+04,1.58,1.62,-0.98,-0.94,,6.78E+05,0.000546875
3.41E+04,1.62,1.62,-0.94,-0.98,,6.81E+05,0.000546875
3.42E+04,1.62,1.62,-0.98,-0.94,,6.84E+05,0.000546875
3.44E+04,1.62,1.62,-0.98,-0.98,,6.88E+05,0.000546875
3.45E+04,1.62,1.62,-0.98,-0.94,,6.91E+05,0.00078125
3.47E+04,1.62,1.58,-0.98,-0.98,,6.94E+05,0.00109375
3.48E+04,1.62,1.62,-0.94,-0.94,,6.97E+05,0.00078125
3.50E+04,1.62,1.62,-0.94,-0.94,,7.00E+05,0.000546875
3.52E+04,1.62,1.62,-0.94,-0.94,,7.03E+05,0.00078125
3.53E+04,1.62,1.58,-0.94,-0.94,,7.06E+05,0.00109375
3.55E+04,1.58,1.62,-0.94,-0.94,,7.09E+05,0.00078125
3.56E+04,1.62,1.58,-0.94,-0.98,,7.13E+05,0.000546875
3.58E+04,1.62,1.62,-0.98,-0.94,,7.16E+05,0.00078125
3.59E+04,1.62,1.62,-0.98,-0.98,,7.19E+05,0.00109375
3.61E+04,1.62,1.62,-0.94,-0.94,,7.22E+05,0.00109375
