t,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
11.5,0,0,0,0,0,-2.84858E-06,0,0,-4.49775E-06,0
11.5,0,5.997E-06,5.997E-06,1.49925E-06,-2.9985E-06,-1.34933E-06,0,0,-1.49925E-06,0
11.6,-4.49775E-06,0,0,0,0,0,1.49925E-06,0,0,0
11.7,0,0,-2.9985E-06,0,-1.49925E-06,-1.34933E-06,1.49925E-06,0,1.49925E-06,0
11.7,-1.49925E-06,0,0,0,0,0,-1.49925E-06,1.49925E-06,0,-1.49925E-06
11.8,0,0,0,0,0,0,0,0,-7.49625E-06,-2.9985E-06
11.9,-1.49925E-06,-5.997E-06,0,0,0,0,0,0,4.49775E-06,-1.49925E-06
11.9,1.49925E-06,-1.49925E-06,0,0,7.49625E-06,-4.34783E-06,0,0,-4.49775E-06,1.49925E-06
12,0,0,-1.49925E-06,0,-1.49925E-06,0,0,0,2.9985E-06,-4.49775E-06
12.1,-1.49925E-06,0,0,0,0,0,0,0,0,0
12.1,0,0,0,0,-1.49925E-06,0,0,0,-4.49775E-06,1.49925E-06
12.2,-1.49925E-06,0,0,0,0,-1.34933E-06,0,0,-4.49775E-06,1.49925E-06
12.3,0,0,1.49925E-06,0,-1.49925E-06,0,0,0,-4.49775E-06,-8.9955E-06
12.3,0,0,0,0,-2.9985E-06,0,0,0,1.49925E-06,2.9985E-06
12.4,0,1.49925E-06,0,0,0,0,0,0,1.49925E-06,1.49925E-06
12.5,1.49925E-06,8.9955E-06,2.9985E-06,-1.49925E-06,0,0,0,0,0,-7.49625E-06
12.5,-4.49775E-06,-1.49925E-06,-2.9985E-06,0,-1.49925E-06,0,-1.49925E-06,-1.49925E-06,4.49775E-06,-2.9985E-06
12.6,-2.9985E-06,0,-1.49925E-06,0,-5.997E-06,2.84858E-06,0,-1.49925E-06,2.9985E-06,1.49925E-06
12.7,0,0,5.997E-06,0,1.49925E-06,0,0,0,-2.9985E-06,7.49625E-06
12.7,0,0,-5.997E-06,0,2.9985E-06,1.34933E-06,0,0,0,1.49925E-06
12.8,1.49925E-06,-1.49925E-06,-2.9985E-06,2.9985E-06,1.49925E-06,0,0,0,0,-4.49775E-06
12.9,4.49775E-06,-7.49625E-06,4.49775E-06,2.9985E-06,0,-2.84858E-06,0,0,0,0
12.9,1.49925E-06,5.997E-06,0,0,-5.997E-06,1.49925E-06,0,0,0,-2.9985E-06
13,0,1.49925E-06,0,0,1.49925E-06,0,0,0,0,0
13.1,0,-4.49775E-06,2.9985E-06,0,2.9985E-06,-1.49925E-06,0,0,-2.9985E-06,1.49925E-06
13.1,1.49925E-06,0,0,0,4.49775E-06,-1.34933E-06,0,0,-1.49925E-06,0
13.2,0,0,-1.49925E-06,4.49775E-06,0,0,0,0,-1.49925E-06,-1.49925E-06
13.3,0,0,1.49925E-06,0,-1.49925E-06,4.1979E-06,0,0,-1.49925E-06,-1.49925E-06
13.3,0,0,0,-1.49925E-06,0,2.84858E-06,-1.49925E-06,0,1.49925E-06,4.49775E-06
13.4,0,-4.49775E-06,-2.9985E-06,-1.49925E-06,4.49775E-06,0,0,1.49925E-06,4.49775E-06,0
13.5,1.49925E-06,-1.49925E-06,0,-1.49925E-06,0,0,0,0,7.49625E-06,-1.49925E-06
13.5,0,0,0,0,0,0,0,0,1.04948E-05,0
13.6,0,0,0,-2.9985E-06,2.9985E-06,1.34933E-06,1.49925E-06,0,2.9985E-06,1.49925E-06
13.7,0,2.9985E-06,2.9985E-06,-1.49925E-06,0,0,0,0,-4.49775E-06,-1.49925E-06
13.7,0,0,1.49925E-06,0,-8.9955E-06,1.49925E-06,1.49925E-06,0,-4.49775E-06,2.9985E-06
13.8,0,0,0,0,-2.9985E-06,0,0,0,0,1.49925E-06
13.9,0,0,0,-1.49925E-06,4.49775E-06,0,0,0,1.49925E-06,0
13.9,2.9985E-06,0,-2.9985E-06,0,1.49925E-06,0,0,0,0,0
14,0,0,-1.49925E-06,1.49925E-06,8.9955E-06,0,0,0,1.49925E-06,-1.49925E-06
14.1,0,0,1.49925E-06,5.997E-06,-4.49775E-06,0,0,0,-1.49925E-06,-1.49925E-06
14.1,0,0,0,0,-5.997E-06,-1.49925E-06,0,0,-4.49775E-06,0
14.2,0,0,-1.49925E-06,-1.49925E-06,0,0,0,0,-1.49925E-06,2.9985E-06
14.3,1.49925E-06,0,4.49775E-06,2.9985E-06,2.9985E-06,-1.34933E-06,4.49775E-06,0,0,-1.49925E-06
14.3,2.9985E-06,0,1.49925E-06,1.49925E-06,-1.49925E-06,0,2.9985E-06,0,8.9955E-06,-1.49925E-06
14.4,2.9985E-06,0,0,5.997E-06,-1.49925E-06,5.69715E-06,0,-1.49925E-06,2.9985E-06,8.9955E-06
14.5,2.9985E-06,-1.49925E-06,1.49925E-06,5.997E-06,2.9985E-06,1.34933E-06,-2.9985E-06,0,-2.9985E-06,1.49925E-06
14.5,-2.9985E-06,-4.49775E-06,-7.49625E-06,0,-2.9985E-06,-4.1979E-06,0,0,-1.49925E-06,2.9985E-06
14.6,0,0,1.49925E-06,0,-2.9985E-06,-1.49925E-06,5.997E-06,-2.9985E-06,4.49775E-06,-2.9985E-06
14.7,-1.49925E-06,0,1.49925E-06,-2.9985E-06,4.49775E-06,7.1964E-06,0,0,0,-1.49925E-06
14.7,4.49775E-06,-5.997E-06,0,-5.997E-06,1.49925E-06,2.69865E-06,-5.997E-06,1.49925E-06,-4.49775E-06,-2.9985E-06
14.8,-2.9985E-06,7.49625E-06,-1.49925E-06,4.49775E-06,4.49775E-06,-4.1979E-06,0,1.49925E-06,0,0
14.9,0,0,-1.49925E-06,4.49775E-06,5.997E-06,0,0,0,5.997E-06,4.49775E-06
14.9,1.49925E-06,-1.49925E-06,0,-1.49925E-06,0,0,-1.49925E-06,0,0,0
15,0,0,1.49925E-06,-5.997E-06,-2.9985E-06,-1.34933E-06,0,0,-1.49925E-06,0
15.1,0,4.49775E-06,0,2.9985E-06,-1.49925E-06,0,0,0,-1.49925E-06,-2.9985E-06
15.1,0,0,0,0,5.997E-06,-1.49925E-06,0,0,0,-1.49925E-06
15.2,8.9955E-06,1.49925E-06,-4.49775E-06,0,2.9985E-06,2.84858E-06,0,0,1.49925E-06,-4.49775E-06
15.3,0,0,0,0,0,1.49925E-06,1.49925E-06,0,2.9985E-06,-4.49775E-06
15.3,2.9985E-06,0,1.49925E-06,0,-1.49925E-06,1.34933E-06,0,0,-5.997E-06,7.49625E-06
15.4,1.49925E-06,0,0,0,-1.49925E-06,0,0,0,0,1.49925E-06
15.5,-8.9955E-06,-1.49925E-06,0,1.49925E-06,0,1.34933E-06,0,0,0,0
15.5,0,0,0,2.9985E-06,4.49775E-06,1.49925E-06,0,0,0,0
15.6,-2.9985E-06,0,0,1.49925E-06,2.9985E-06,0,0,0,-2.9985E-06,-7.49625E-06
15.7,4.49775E-06,0,-1.49925E-06,2.9985E-06,0,7.04648E-06,0,0,-5.997E-06,1.49925E-06
15.7,0,0,0,0,0,0,0,0,-1.49925E-06,0
15.8,1.49925E-06,0,1.49925E-06,0,-4.49775E-06,0,0,0,1.49925E-06,0
15.9,0,-5.997E-06,4.49775E-06,-1.49925E-06,-1.49925E-06,0,0,0,0,0
15.9,0,0,1.49925E-06,0,0,0,-5.997E-06,0,0,0
16,0,0,0,0,0,-1.49925E-06,0,0,-2.9985E-06,0
16.1,-8.9955E-06,1.49925E-06,0,0,0,0,0,0,0,0
16.1,5.997E-06,0,2.9985E-06,-2.9985E-06,4.49775E-06,4.34783E-06,1.49925E-06,0,-2.9985E-06,-1.49925E-06
16.2,0,0,0,0,0,0,-1.49925E-06,0,0,-1.49925E-06
16.3,-1.49925E-06,0,-1.49925E-06,0,0,0,0,0,0,1.49925E-06
16.3,0,0,0,0,-1.49925E-06,1.34933E-06,0,0,0,0
